	Antisense.PfBloodR1	Antisense.PfBloodR2	Sense.PfBloodR1	Sense.PfBloodR2	Antisense.PfOocystR1	Antisense.PfOocystR2	Sense.PfOocystR1	Sense.PfOocystR2	Antisense.PfSporozoiteR1	Antisense.PfSporozoiteR2	Sense.PfSporozoiteR1	Sense.PfSporozoiteR2
PF3D7_1115200	3.50875915791051	5.38181035698548	9.25250256924013	10.2798096986889	1.19886397615421	0.750677030105598	6.29272843238012	6.37695919301639	1.87803130160767	3.02903335887063	8.88178525891493	9.49552293821814
PF3D7_1115400	2.09372165905416	2.54050810317755	7.08529706885474	6.32645979148976	4.44679148956472	4.30526588196567	8.0859622464857	8.07384011679492	4.61499689597013	4.6139958596507	9.73762824891543	9.98094976476023
PF3D7_1115900	2.09372165905416	-0.0444543975436109	4.20265401974522	5.06866203410028	2.19886397615421	2.4511167483786	4.0032218151238	3.9429725912637	0.293068800494026	0.0290333594008652	6.85498520006055	6.37214052274427
PF3D7_1116100	0.508759158670988	3.54050810317755	5.66208563845375	7.12252890593497	2.52079207116726	0.750677030105598	4.22561423646024	5.43235743174563	1.87803130160767	3.48846497778108	8.47557160986395	8.64373694213404
PF3D7_1116500	3.50875915791051	4.41497722109369	7.79760060912005	8.78111426989202	0.198863976782672	1.75067703053431	2.6406517358162	3.37181589033559	1.29306880108276	3.19895836037186	3.85498520006055	3.24285750584284
PF3D7_1116700	4.20919887595411	1.54050810317755	9.5094752223166	5.71502507928257	3.19886397631132	2.99860454381995	8.41825931440264	8.26351281143637	5.61499689567576	6.21885791777728	13.0138473058225	13.1235889409114
PF3D7_1117200	3.67868415977531	2.95554560245639	5.92147226729043	6.41546479748705	4.89930369444033	4.53203674378615	5.71593986322631	5.10051386779734	5.33746292010225	5.2769608722491	7.81845932365196	7.92935803312963
PF3D7_1117300	1.50875915816401	-0.0444543975436109	5.50033456834607	3.24553979607854	2.78382647708485	1.92060203173845	4.35685877020789	4.28692699179885	0.293068800494026	1.02903335869389	4.11801960506349	4.05021242768274
PF3D7_1117700	3.67868415977531	3.27747369734375	7.75211783901914	6.31328440272554	3.8993036939569	3.83813987186031	9.14390959551103	9.00823336039332	4.38053164195215	3.93592395406675	2.53305710467467	1.24285750553805
PF3D7_1118300	3.67868415977531	2.76290052451399	8.16843830437597	6.97136483262539	3.52079207167003	3.14299445312934	8.37245562478951	8.28007982654392	1.87803130160767	0.0290333594008652	4.53305710455004	4.56478560042541
PF3D7_1118500	2.09372165905416	2.76290052451399	7.1490729796039	6.4639633152397	4.84272016605463	4.1769417850071	8.18644363917957	7.83311992283568	4.68538622377742	4.42135078137165	7.62051994598366	7.26522531851961
PF3D7_1118600	2.50875915816401	0.955545602456389	4.97524352347016	4.86702817267269	0.198863976782672	0.335639531398374	5.08122432740918	5.2425328726829	0.293068800494026	1.02903335869389	6.66234012211816	5.99774500794987
PF3D7_1119400	3.09372165888516	3.1254706038987	7.43147270987546	7.48173801715111	3.36878897822498	3.07260512516445	6.84452406910474	6.93601983025034	1.87803130160767	0.0290333594008652	4.85498519956204	5.41278250711582
PF3D7_1119500	3.67868415977531	2.76290052451399	4.47567251423269	5.37799009219292	3.00621889830159	3.27423898638629	4.74018740929	4.95677839059219	2.61499689585238	1.6139958596507	1.53305710467467	2.8278200064624
PF3D7_1119700	0.508759158670988	3.95554560245639	5.7262159758363	7.1149556860122	0.198863976782672	0.750677030105598	3.53373653223781	3.24253287275912	3.46299380206717	3.8363882806505	7.70298210633855	7.81271311441442
PF3D7_1120500	4.50875915791051	4.41497722109369	6.02708245518942	4.71502507955722	1.78382647708485	2.33563953111256	5.76403415133286	5.6262371651136	1.87803130160767	1.02903335869389	5.92537452747717	5.94329722386671
PF3D7_1121000	0.508759158670988	2.27747369734375	5.07712313744767	6.21752541998947	0.198863976782672	0.750677030105598	3.41825931440264	3.66879762760656	3.10042372288805	3.02903335887063	8.10291271297938	7.99774500817564
PF3D7_1122700	3.31611408029404	4.27747369734375	-0.382308480505824	3.0045316966024	0.198863976782672	0.335639531398374	1.41825931440264	0.564460967859887	1.29306880108276	0.0290333594008652	6.66234012211816	6.28725162524748
PF3D7_1123000	2.83068725315276	2.27747369734375	7.2026540199411	5.90265208245165	3.78382647750383	3.70487334076906	6.84452406910474	6.65192380870852	4.10042372305626	3.48846497778108	8.89937931881474	8.75065214602479
PF3D7_1123300	2.09372165905416	0.955545602456389	5.54842885662548	5.79302759138503	1.78382647708485	2.07260512533593	5.76403415133286	5.99072572226705	1.29306880108276	0.0290333594008652	6.95932185917968	7.45231087118347
PF3D7_1123500	3.09372165888516	0.955545602456389	8.25068671593611	6.1889562677578	1.78382647708485	2.65756762582844	7.20833624535359	7.33792989587744	0.293068800494026	0.0290333594008652	5.92537452747717	6.14974810134976
PF3D7_1124000	1.50875915816401	2.27747369734375	6.29011686094947	6.6431321608469	0.198863976782672	1.92060203173845	4.96257983093491	5.29781530815831	1.29306880108276	2.02903335869389	6.92537452747717	6.97077796031978
PF3D7_1125300	2.09372165905416	2.76290052451399	6.48805623862756	6.78350481673063	2.52079207116726	1.92060203173845	6.17314681676604	6.23121755942206	3.75250041902428	3.6139958596507	9.79984364544726	9.55119653604475
PF3D7_1125700	2.50875915816401	0.955545602456389	1.61769151902406	3.35245500040793	1.19886397615421	1.33563953082675	3.53373653223781	4.21981279611628	2.2930688007884	0.0290333594008652	8.24730262236453	7.07574751982043
PF3D7_1126000	2.50875915816401	-0.0444543975436109	7.41859141914464	5.35245500005481	3.78382647750383	3.39453321953735	8.35293306667178	8.43852017084884	0.293068800494026	2.35096145372265	4.85498519956204	9.05663869695828
PF3D7_1126300	1.50875915816401	0.955545602456389	5.29011686094947	5.98804357379317	2.19886397615421	1.92060203173845	4.78749312424249	4.5823828758451	4.10042372305626	2.35096145372265	8.67260845714771	8.49078501936664
PF3D7_1126500	3.31611408029404	1.95554560245639	6.21760436113849	5.13006257883607	3.8993036939569	3.45111674890625	7.20833624535359	7.29510092377484	1.29306880108276	2.02903335869389	3.85498520006055	4.24285750584284
PF3D7_1127800	0.508759158670988	0.955545602456389	5.50033456834607	5.27302053246046	3.19886397631132	3.39453321953735	6.78749312450368	6.2083171574395	3.46299380206717	3.19895836037186	6.85498520006055	6.45231087151298
PF3D7_1129100	4.90107658111176	3.1254706038987	10.0003155451676	8.76184593629637	4.19886397599709	3.83813987186031	9.52329478516628	9.56446096757027	3.46299380206717	3.19895836037186	10.3111342341635	10.3408895887255
PF3D7_1129600	4.20919887595411	5.04300844370673	7.69984056040396	9.24900365126319	0.198863976782672	0.335639531398374	3.15522490878477	4.04988779457719	1.87803130160767	1.6139958596507	7.57745122438058	7.5647856007302
PF3D7_1129900	3.09372165888516	0.955545602456389	7.44424000622179	6.67438309529529	1.78382647708485	2.99860454381995	7.30090236376448	7.27320000915791	3.87803130200017	3.19895836037186	9.76187579517055	9.87948212631757
PF3D7_1130000	1.50875915816401	-0.0444543975436109	3.07712313761862	3.54510007852689	0.198863976782672	-0.249322969894402	2.6406517358162	3.49046038646746	0.293068800494026	0.0290333594008652	4.53305710455004	4.24285750584284
PF3D7_1130200	3.31611408029404	2.27747369734375	9.07917096619353	6.65362453453484	4.52079207104157	4.14299445329266	9.83751728020992	9.84337498710039	0.293068800494026	1.02903335869389	6.39103809978505	5.94329722386671
