PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0914900	38.36044919	83.89948959	50.77994151	53.23805535	95.50148253	63.90004349
PF3D7_0915000	19.94743358	45.2327683	111.3595208	90.80046106	0	0
PF3D7_0915100	51.40300191	43.77364674	37.416799	49.39308468	2.893984319	2.366668277
PF3D7_0915200	24.55068748	49.61013298	17.81752334	18.3375524	0	0
PF3D7_0915300	3.836044919	2.188682337	28.50803734	14.78834871	2.893984319	2.366668277
PF3D7_0915400	811.7071048	180.2015124	190.6474997	196.6850378	86.81952957	73.3667166
PF3D7_0915500	3.836044919	6.566047012	1.781752334	3.54920369	2.893984319	0
PF3D7_0915600	29.15394138	6.566047012	9.799637834	8.281475276	0	0
PF3D7_0915700	33.75719528	74.41519947	53.45257001	67.73063708	0	0
PF3D7_0915800	244.7396658	504.8560591	4.454380834	2.661902767	0	0
PF3D7_0915900	13.80976171	10.94341169	35.63504667	33.12590111	0	0
PF3D7_0916000	230.1626951	540.6045373	9.799637834	23.66135793	309.6563221	194.0667988
PF3D7_0916100	12.27534374	10.21385091	23.16278034	31.64706623	0	0
PF3D7_0916200	29.15394138	40.85540363	60.57957934	60.04069575	2.893984319	4.733336555
PF3D7_0916300	6.13767187	6.566047012	0.890876167	1.478834871	269.1405417	217.7334815
PF3D7_0916400	26.85231443	47.42145064	15.14489483	26.61902767	83.92554525	80.46672143
PF3D7_0916500	9.206507805	20.42770181	43.65293217	55.01265719	0	0
PF3D7_0916600	13.80976171	6.566047012	24.0536565	35.19626992	2.893984319	0
PF3D7_0916700	433.4730758	126.2140148	16.035771	23.36559096	442.7796008	655.5671129
PF3D7_0916800	6.13767187	5.836486233	20.49015184	15.08411568	40.51578047	26.03335105
PF3D7_0916900	26.08510545	16.05033714	10.690514	5.915339483	14.4699216	18.93334622
PF3D7_0917000	63.67834565	135.6983049	48.99818917	52.94228837	0	2.366668277
PF3D7_0917100	5.370462886	14.59121558	14.25401867	10.94337804	2.893984319	0
PF3D7_0917200	2.301626951	6.566047012	0.890876167	0.295766974	0	0
PF3D7_0917300	0	0	0	0	0	2.366668277
PF3D7_0917400	8.439298821	8.02516857	0	8.57724225	0	2.366668277
PF3D7_0917500	53.70462886	135.6983049	107.7960162	94.34966475	8.681952957	9.46667311
PF3D7_0917600	90.53066008	36.47803895	98.88725451	115.6448869	0	0
PF3D7_0917700	7.672089837	5.106925454	8.017885501	9.168776199	0	0
PF3D7_0917800	12.27534374	5.106925454	1.781752334	4.436504612	0	0
PF3D7_0917900	1249.016226	260.4531981	1414.711353	1495.989355	2211.00402	2458.96834
