PlasmoDB_GeneID	Antisense.PfBloodR1	Antisense.PfBloodR2	Antisense.PfOocystR1	Antisense.PfOocystR2	Antisense.PfSporozoiteR1	Antisense.PfSporozoiteR2	Sense.PfBloodR1	Sense.PfBloodR2	Sense.PfOocystR1	Sense.PfOocystR2	Sense.PfSporozoiteR1	Sense.PfSporozoiteR2
PF3D7_0105000	1.422825917	1.93931291	5.738970948	13.04001244	0	1.020328252	16.87859764	7.295607791	43.65293217	32.23860018	0	2.366668277
PF3D7_0105100	0	0	1.14779419	1.261936688	0	0	1.534417967	4.377364674	17.81752334	23.95712491	0	0
PF3D7_0105200	1.422825917	1.93931291	10.33014771	7.571620126	0	0	21.48185154	35.0189174	216.4829085	191.3612323	14.4699216	14.20000966
PF3D7_0105300	2.845651833	0.969656455	5.738970948	3.365164501	0	2.040656503	6.904880854	13.13209402	22.27190417	20.99945516	5.787968638	4.733336555
PF3D7_0105400.1	0	0	0	0.420645563	0	0	0	0	0.890876167	0.295766974	0	0
PF3D7_0105400.2	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105500	0	0	1.14779419	3.365164501	0	0	4.603253902	10.94341169	29.3989135	27.5063286	14.4699216	14.20000966
PF3D7_0105600	2.845651833	0.969656455	3.443382569	4.627101188	12.25243761	10.20328252	49.86858394	29.18243116	41.87117984	44.6608131	590.3728011	565.6337183
PF3D7_0105700	2.845651833	4.848282275	10.33014771	14.72259469	1.225243761	2.040656503	34.52440427	67.11959167	204.9015184	226.8532692	127.33531	111.233409
PF3D7_0105800	2.845651833	4.848282275	5.738970948	6.730329001	3.675731284	3.060984755	15.34417967	50.33969376	84.63323584	85.18088856	66.56163934	78.10005316
PF3D7_0105900	1.422825917	0.969656455	0	2.523873375	1.225243761	1.020328252	11.50813476	23.34594493	17.81752334	19.81638727	17.36390591	16.56667794
PF3D7_0106000	0	0.969656455	2.295588379	3.365164501	3.675731284	2.040656503	9.973716789	16.77989792	39.19855134	48.21001679	78.13757662	78.10005316
PF3D7_0106100	1.422825917	0	1.14779419	2.523873375	1.225243761	1.020328252	46.79974801	51.06925454	58.79782701	47.02694889	23.15187455	28.40001933
PF3D7_0106200	0	0.969656455	4.591176758	3.365164501	1.225243761	1.020328252	1.534417967	5.106925454	36.52592284	31.05553229	20.25789023	7.100004832
PF3D7_0106300	5.691303666	0.969656455	10.33014771	12.19872131	2.450487523	4.081313006	222.4906053	129.8618187	356.3504667	316.1748954	457.2495224	347.9002368
PF3D7_0106400	7.114129583	0.969656455	17.21691284	18.08775919	0	0	38.36044919	14.59121558	103.3416353	94.64543173	8.681952957	14.20000966
PF3D7_0106500	4.26847775	3.87862582	0	0.420645563	0	0	42.19649411	100.6793875	26.726285	23.95712491	0	0
PF3D7_0106600	0	0	0	0	0	0	0	0	1.781752334	1.774601845	0	0
PF3D7_0106700	9.959781416	5.81793873	11.4779419	8.833556814	0	0	95.13391398	29.18243116	143.4310628	140.4893127	34.72781183	21.3000145
PF3D7_0106800	0	0	0	1.261936688	0	1.020328252	13.80976171	29.18243116	30.28978967	34.90050295	23.15187455	11.83334139
PF3D7_0106900	1.422825917	1.93931291	0	2.523873375	0	0	12.27534374	26.26418805	18.7083995	17.1544845	2.893984319	0
PF3D7_0107000	0	6.787595185	3.443382569	3.365164501	1.225243761	0	76.72089837	140.8052304	88.19674051	107.9549456	8.681952957	7.100004832
PF3D7_0107100	1.422825917	1.93931291	3.443382569	1.68258225	1.225243761	6.12196951	3.836044919	13.8616548	13.3631425	16.26718358	92.60749821	94.6667311
PF3D7_0107200	1.422825917	2.908969365	0	0.420645563	20.82914394	7.142297761	3.836044919	2.918243116	11.58139017	14.49258173	8.681952957	4.733336555
PF3D7_0107300	2.845651833	3.87862582	0	1.261936688	20.82914394	21.42689328	42.19649411	79.52212492	6.236133167	2.366135793	920.2870135	930.1006331
PF3D7_0107400	1.422825917	0	1.14779419	0.841291125	0	1.020328252	6.13767187	19.69814104	48.107313	50.28038561	31.83382751	28.40001933
PF3D7_0107500	18.49673691	9.69656455	6.886765138	5.047746751	17.15341266	17.34558028	407.3879704	140.0756696	79.28797884	74.53327749	752.435923	736.0338343
PF3D7_0107600	4.26847775	2.908969365	5.738970948	1.68258225	35.53206908	25.50820629	13.04255272	32.83023506	7.127009334	13.30951384	1229.943336	762.0671853
PF3D7_0107700	27.03369241	32.96831947	115.9272131	45.00907519	115.1729136	99.99216866	13.04255272	59.09442311	30.28978967	19.22485332	170.7450748	158.5667746
PF3D7_0107800	1.422825917	2.908969365	1.14779419	6.730329001	0	3.060984755	9.206507805	37.20759973	74.83359801	65.95603524	222.8367926	172.7667843
PF3D7_0107900	0	0	2.295588379	1.68258225	0	0	6.904880854	21.15726259	22.27190417	24.84442583	0	0
PF3D7_0108000	1.422825917	0.969656455	12.62573609	7.571620126	0	1.020328252	62.91113667	29.18243116	215.5920324	169.1787092	0	2.366668277
PF3D7_0108100	0	1.93931291	3.443382569	1.261936688	0	2.040656503	16.11138866	35.0189174	24.0536565	29.28093044	0	0
PF3D7_0108300	24.18804058	13.57519037	16.06911865	10.0954935	15.9281689	28.56919105	573.1051109	208.6543828	261.0267169	275.063286	2433.840812	2049.534728
PF3D7_0108400.1	4.26847775	0.969656455	1.14779419	0.841291125	2.450487523	1.020328252	6.904880854	10.21385091	42.762056	31.05553229	14.4699216	14.20000966
PF3D7_0108400.2	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0108500	5.691303666	0	0	0.420645563	0	0	86.69461516	6.566047012	3.563504667	5.323805535	11.57593728	30.76668761
PF3D7_0108600	4.26847775	0	3.443382569	2.523873375	0	0	16.11138866	30.64155272	48.107313	35.4920369	2.893984319	0
PF3D7_0108700	1.422825917	1.93931291	0	6.309683438	1.225243761	10.20328252	31.45556833	35.0189174	41.87117984	40.81584243	133.1232787	99.40006765
PF3D7_0108800	18.49673691	22.30209846	0	0.420645563	4.900975045	2.040656503	21.48185154	27.7233096	32.96241817	29.28093044	17.36390591	28.40001933
PF3D7_0108900	38.41629975	75.63320349	0	0	4.900975045	3.060984755	2.301626951	12.40253324	0	0.591533948	49.19773342	59.16670694
PF3D7_0109000	8.536955499	44.60419693	0	0.841291125	11.02719385	15.30492377	173.3892303	553.0070705	13.3631425	29.57669742	1412.264348	1136.000773
PF3D7_0109100	1.422825917	10.666221	1.14779419	2.944518938	3.675731284	1.020328252	76.72089837	291.8243116	3.563504667	0.887300922	95.50148253	134.9000918
PF3D7_0109200	0	0	3.443382569	1.261936688	1.225243761	0	16.87859764	10.94341169	26.726285	23.06982398	0	0
PF3D7_0109300	1.422825917	10.666221	3.443382569	6.309683438	0	0	9.206507805	24.80506649	11.58139017	11.23914502	0	0
PF3D7_0109400	1.422825917	6.787595185	18.36470703	22.29421482	2.450487523	3.060984755	47.56695699	148.8303989	179.0661095	221.5294636	78.13757662	54.43337038
PF3D7_0109500	2.845651833	3.87862582	1.14779419	1.261936688	1.225243761	2.040656503	98.9699589	161.2329322	27.61716117	28.09786254	107.0774198	111.233409
PF3D7_0109600	0	0.969656455	2.295588379	1.68258225	0	0	1.534417967	5.836486233	39.19855134	32.53436716	2.893984319	4.733336555
PF3D7_0109700	0	0	0	1.261936688	0	0	16.87859764	8.02516857	22.27190417	18.04178542	0	2.366668277
PF3D7_0109800	5.691303666	0	8.034559327	7.571620126	0	0	92.83228703	17.5094587	173.7208525	154.0945935	0	14.20000966
PF3D7_0109900.1	2.845651833	4.848282275	1.14779419	0.841291125	1.225243761	0	8.439298821	22.61638415	24.94453267	23.06982398	0	0
PF3D7_0109900.2	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0110000	4.26847775	18.42347264	2.295588379	1.261936688	2.450487523	1.020328252	89.7634511	286.7173862	5.345257001	10.94337804	78.13757662	44.96669727
PF3D7_0110100	9.959781416	10.666221	1.14779419	2.523873375	2.450487523	3.060984755	25.31789646	18.23901948	24.94453267	36.08357085	133.1232787	97.03339938
PF3D7_0110200	0	0	0	1.261936688	1.225243761	0	6.904880854	9.484290128	16.92664717	17.45025147	20.25789023	9.46667311
PF3D7_0110300	0	2.908969365	1.14779419	8.412911251	4.900975045	2.040656503	0.767208984	0.729560779	0	1.183067897	0	2.366668277
PF3D7_0110400	2.845651833	0	5.738970948	5.889037876	0	0	39.89486715	28.45287038	42.762056	59.15339483	5.787968638	14.20000966
PF3D7_0110500	4.26847775	4.848282275	4.591176758	4.627101188	6.126218807	4.081313006	44.49812106	60.55354466	81.06973117	88.43432527	46.30374911	44.96669727
PF3D7_0110600	58.33586258	46.54350984	73.45882813	39.12003732	73.51462568	71.42297761	396.6470446	633.988317	253.0088314	166.8125734	1195.215524	915.9006234
PF3D7_0110700	8.536955499	7.75725164	3.443382569	4.206455626	0	1.020328252	42.19649411	161.2329322	63.25220784	78.9697821	11.57593728	7.100004832
PF3D7_0110800	1.422825917	3.87862582	1.14779419	0.841291125	0	3.060984755	68.28159955	83.16992881	45.4346845	42.59044428	332.8081967	179.8667891
PF3D7_0110900	4.26847775	0.969656455	9.182353517	2.103227813	0	0	13.04255272	2.188682337	19.59927567	22.77405701	0	0
PF3D7_0111000	15.65108508	28.12003719	0	2.523873375	0	0	291.5394138	439.9251498	19.59927567	27.80209557	14.4699216	21.3000145
PF3D7_0111200	1.422825917	0	3.443382569	2.103227813	0	3.060984755	0.767208984	6.566047012	29.3989135	8.873009225	40.51578047	61.53337521
PF3D7_0111300	0	3.87862582	5.738970948	7.150974564	1.225243761	0	77.48810736	157.5851283	166.5938432	154.0945935	11.57593728	9.46667311
PF3D7_0111400	0	2.908969365	9.182353517	4.627101188	0	1.020328252	15.34417967	51.79881531	50.77994151	42.88621125	17.36390591	11.83334139
PF3D7_0111500	0	3.87862582	3.443382569	4.206455626	0	0	5.370462886	19.69814104	67.70658867	49.09731771	2.893984319	2.366668277
PF3D7_0111600	0	0	0	0	0	1.020328252	4.603253902	0.729560779	0.890876167	2.661902767	0	0
PF3D7_0111700	0	0	0	0	0	0	0	0	0	0.591533948	0	0
PF3D7_0111800	2.845651833	1.93931291	1.14779419	0.420645563	0	0	47.56695699	101.4089483	20.49015184	28.98516347	8.681952957	30.76668761
PF3D7_0111900	0	0	1.14779419	0	1.225243761	0	15.34417967	12.40253324	23.16278034	34.90050295	0	0
PF3D7_0112000	0	0.969656455	1.14779419	2.103227813	0	0	7.672089837	4.377364674	16.035771	15.08411568	0	0
PF3D7_0112100	0	0	0	0	0	0	0	0	0	1.183067897	0	0
PF3D7_0112200	2.845651833	0	1.14779419	0	3.675731284	5.101641258	15.34417967	0	2.6726285	0.591533948	0	0
PF3D7_0112300	0	0	1.14779419	0	2.450487523	0	0	0	504.2359104	75.12481143	1976.59129	231.9334912
PF3D7_0112400	0	0	0	0	0	0	0	0	0.890876167	0	0	0
PF3D7_0112500	0	0	3.443382569	4.627101188	3.675731284	11.22361077	0	0	2224.517788	2980.443799	7573.556963	17212.77838
PF3D7_0112600	7.114129583	0.969656455	8.034559327	12.61936688	0	2.040656503	1.534417967	2.918243116	789.3162837	776.0925402	8.681952957	7.100004832
PF3D7_0112700	12.80543325	9.69656455	1260.27802	747.9078102	1076.989266	891.7668919	1331.107587	768.2275004	17646.47511	7356.907715	68726.33961	44614.0637
PF3D7_0112800	1.422825917	0.969656455	16.06911865	9.254202376	0	0	16.87859764	15.32077636	0	0.295766974	60.7736707	37.86669244
PF3D7_0112900	0	0	0	0	0	0	0	0	0	1.478834871	37.62179615	33.13335588
PF3D7_0113000	28.45651833	6.787595185	3.443382569	1.261936688	3.675731284	2.040656503	375.1651931	5.106925454	55.23432234	11.83067897	60.7736707	66.26671177
PF3D7_0113100	0	0	0	0	0	0	1.534417967	0.729560779	0.890876167	0.887300922	8.681952957	0
PF3D7_0113200	0	2.908969365	1.14779419	0	0	0	10.74092577	32.10067428	10.690514	8.873009225	2.893984319	2.366668277
PF3D7_0113300	8.536955499	0	2.295588379	0.420645563	0	0	106.6420487	1.459121558	11.58139017	2.957669742	0	0
PF3D7_0113400	2.845651833	0	0	0.420645563	0	0	1.534417967	5.106925454	1.781752334	1.774601845	0	0
PF3D7_0113600	0	0	0	0	0	0	1.534417967	0	3.563504667	1.478834871	2.893984319	2.366668277
PF3D7_0113700	4.26847775	0	1.14779419	1.261936688	0	0	140.399244	2.918243116	29.3989135	18.3375524	14.4699216	7.100004832
PF3D7_0113800	1.422825917	0.969656455	0	0	0	4.081313006	0	0.729560779	2.6726285	4.732271586	75.2435923	78.10005316
PF3D7_0113900	5.691303666	10.666221	3.443382569	1.261936688	1.225243761	1.020328252	160.3466776	16.05033714	0.890876167	0.295766974	0	0
PF3D7_0114000	0	0	0	0	0	0	5.370462886	5.106925454	0	0.295766974	0	0
PF3D7_0114100	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114200	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114300	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114400	5.691303666	8.726908095	0	2.103227813	2.450487523	1.020328252	5.370462886	4.377364674	0	0.887300922	2.893984319	4.733336555
PF3D7_0114500	0	0	0	0	0	0	11.50813476	0	0	0	0	0
PF3D7_0114600	1.422825917	0	0	0	0	0	0	0.729560779	0	0	0	0
PF3D7_0114700	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114800	0	0	0	0	0	0	2.301626951	0	0	0	0	0
PF3D7_0114900	0	0	0	0	0	0	1.534417967	6.566047012	0	0	0	2.366668277
PF3D7_0115000	0	0.969656455	0	0	0	0	0.767208984	0.729560779	0.890876167	0.887300922	0	2.366668277
PF3D7_0115100	0	0.969656455	0	0	0	0	2.301626951	14.59121558	0.890876167	0.295766974	0	0
PF3D7_0115200	0	0	0	0	0	0	0	0.729560779	0	0.295766974	0	0
PF3D7_0115300	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0115400	0	0	0	0	0	0	0	8.754729349	0	0	0	0
PF3D7_0115500	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0115600	0	0	0	0	0	0	0	1.459121558	0	0	0	0
PF3D7_0115700	1.422825917	0	0	0	2.450487523	0	4.603253902	7.295607791	0.890876167	0	31.83382751	16.56667794
PF3D7_0200100	0	0	0	0	0	2.040656503	7.672089837	7.295607791	0.890876167	1.478834871	37.62179615	23.66668277
PF3D7_0200200	0	0	0	0	0	0	0.767208984	0	0	0	0	0
PF3D7_0200300	0	0	0	0	0	0	0	2.188682337	0	0.295766974	0	0
PF3D7_0200400	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0200500	0	0	0	0	0	0	0	0.729560779	0	0	0	0
PF3D7_0200600	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0200700	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0200800	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0200900	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0201000	0	0.969656455	0	0	0	0	0	0	0	0	0	0
PF3D7_0201100	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0201200	0	0	0	0	0	0	0	0	0	0	0	2.366668277
PF3D7_0201300	0	0	0	0	0	0	0	3.647803895	0	0	0	0
PF3D7_0201400	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0201500	2.845651833	0	1.14779419	0	0	0	121.2190194	7.295607791	0	0.295766974	5.787968638	0
PF3D7_0201600	17.073911	0	0	0.420645563	0	0	474.135152	0	0	0	5.787968638	0
PF3D7_0201700	2.845651833	0	0	2.103227813	0	6.12196951	184.8973651	0	0	0.295766974	109.9714041	87.56672627
PF3D7_0201800	9.959781416	0	0	0	6.126218807	2.040656503	573.1051109	0	0	0	0	0
PF3D7_0201900	9.959781416	0	0	0	0	0	463.3942262	0	0	0	0	0
PF3D7_0202000	250.4173613	0	0	0	0	0	14117.41251	0.729560779	0.890876167	0.295766974	0	2.366668277
PF3D7_0202100	15.65108508	0	0	0	99.24474467	66.32133635	88.99624211	0	0.890876167	0	5191.807868	4255.269563
PF3D7_0202200	11.38260733	0	0	0	12.25243761	6.12196951	151.1401698	0.729560779	0	0	0	0
PF3D7_0202300	0	0	0	0	0	0	0.767208984	0	0	0	0	0
PF3D7_0202400	0	0	0	0	0	0	0	0.729560779	0	0	0	2.366668277
PF3D7_0202500	21.34238875	0	0	0	0	0	813.2415228	1.459121558	0	0.591533948	8.681952957	4.733336555
PF3D7_0202600.1	0	0.969656455	0	0	0	0	0.767208984	1.459121558	0	0.887300922	0	0
PF3D7_0202600.2	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0202700	2.845651833	2.908969365	3.443382569	4.206455626	0	2.040656503	4.603253902	10.94341169	33.85329434	28.98516347	8.681952957	9.46667311
PF3D7_0202800	1.422825917	0	0	2.944518938	0	1.020328252	5.370462886	4.377364674	2.6726285	1.774601845	2.893984319	7.100004832
PF3D7_0202900	8.536955499	19.3931291	0	0.841291125	2.450487523	0	3.068835935	2.918243116	3.563504667	5.028038561	0	9.46667311
PF3D7_0203000	0	0	0	0.420645563	7.351462568	5.101641258	8.439298821	36.47803895	9.799637834	10.3518441	164.9571062	260.3335105
PF3D7_0203100	5.691303666	1.93931291	0	0.420645563	13.47768137	3.060984755	9.206507805	19.69814104	2.6726285	1.774601845	141.8052316	111.233409
PF3D7_0203200	2.845651833	4.848282275	1.14779419	0.841291125	0	0	60.60950972	117.4592854	10.690514	10.94337804	0	4.733336555
PF3D7_0203300	0	1.93931291	3.443382569	0.420645563	0	0	28.3867324	18.23901948	22.27190417	24.84442583	0	0
PF3D7_0203400	1.422825917	7.75725164	3.443382569	2.103227813	1.225243761	4.081313006	115.0813476	214.490869	99.77813068	116.5321878	208.366871	272.1668519
PF3D7_0203500	0	1.93931291	0	0	0	0	0	0	0	0.295766974	0	0
PF3D7_0203600	0	6.787595185	1.14779419	1.261936688	0	0	26.08510545	35.74847817	4.454380834	10.64761107	2.893984319	0
PF3D7_0203700	0	0	2.295588379	1.261936688	0	0	4.603253902	0.729560779	6.236133167	6.211106457	0	0
PF3D7_0203800	4.26847775	31.99866301	6.886765138	0.420645563	0	1.020328252	555.4593042	1249.737615	8.908761668	8.873009225	31.83382751	35.50002416
PF3D7_0203900	1.422825917	0.969656455	1.14779419	0.420645563	0	2.040656503	5.370462886	24.80506649	14.25401867	13.90104779	34.72781183	30.76668761
PF3D7_0204000	1.422825917	2.908969365	0	0	1.225243761	0	23.7834785	54.71705843	5.345257001	4.732271586	14.4699216	18.93334622
PF3D7_0204100	2.845651833	1.93931291	0	0.420645563	1.225243761	3.060984755	25.31789646	40.12584285	6.236133167	6.802640406	436.9916322	312.4002126
PF3D7_0204200	12.80543325	3.87862582	0	1.68258225	1.225243761	2.040656503	110.4780937	71.49695635	53.45257001	50.28038561	28.93984319	33.13335588
PF3D7_0204300	0	4.848282275	3.443382569	0.420645563	1.225243761	0	65.21276362	82.44036804	23.16278034	20.70368819	37.62179615	35.50002416
PF3D7_0204400	0	0	0	0	0	0	8.439298821	5.836486233	0.890876167	3.54920369	0	0
PF3D7_0204500	7.114129583	0	3.443382569	2.523873375	0	0	26.08510545	2.188682337	21.381028	22.77405701	37.62179615	21.3000145
PF3D7_0204600	1.422825917	0	1.14779419	1.261936688	0	0	8.439298821	7.295607791	23.16278034	21.88675609	2.893984319	7.100004832
PF3D7_0204700	11.38260733	4.848282275	28.69485474	30.2864805	2.450487523	9.182954265	184.1301561	61.28310544	563.0337374	428.2705786	118.6533571	248.5001691
PF3D7_0204800	0	1.93931291	2.295588379	4.206455626	1.225243761	1.020328252	3.836044919	12.40253324	39.19855134	35.78780387	8.681952957	9.46667311
PF3D7_0204900	1.422825917	9.69656455	0	4.206455626	1.225243761	0	5.370462886	9.484290128	37.416799	39.33700756	2.893984319	4.733336555
PF3D7_0205000	27.03369241	17.45381619	2.295588379	0	0	0	80.55694329	144.4530343	3.563504667	5.323805535	5.787968638	0
PF3D7_0205100	5.691303666	6.787595185	2.295588379	0.420645563	0	0	39.12765817	59.82398388	3.563504667	4.732271586	0	4.733336555
PF3D7_0205200	0	1.93931291	0	0	0	1.020328252	11.50813476	29.91199194	0	0.295766974	20.25789023	21.3000145
PF3D7_0205300	1.422825917	0.969656455	2.295588379	0.841291125	0	0	27.61952341	55.44661921	9.799637834	5.619572509	2.893984319	2.366668277
PF3D7_0205400	1.422825917	2.908969365	2.295588379	0.420645563	0	0	19.18022459	12.40253324	15.14489483	21.59098911	5.787968638	2.366668277
PF3D7_0205500	1.422825917	0	2.295588379	1.261936688	0	0	36.82603122	21.15726259	15.14489483	18.3375524	0	2.366668277
PF3D7_0205600	1.422825917	4.848282275	1.14779419	2.944518938	0	0	32.22277732	73.68563869	31.18066584	36.08357085	8.681952957	4.733336555
PF3D7_0205700.1	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0205700.2	1.422825917	0	0	0	0	0	0	2.188682337	0	0	0	0
PF3D7_0205800	4.26847775	7.75725164	0	2.944518938	0	5.101641258	16.87859764	24.07550571	6.236133167	5.028038561	0	0
PF3D7_0205900	14.22825917	23.27175492	5.738970948	9.254202376	2.450487523	7.142297761	165.7171405	173.6354654	268.1537262	236.0220454	57.87968638	28.40001933
PF3D7_0206000	0	2.908969365	3.443382569	3.785810063	1.225243761	4.081313006	54.47183785	62.01266622	46.32556067	59.15339483	28.93984319	101.7667359
PF3D7_0206100	1.422825917	2.908969365	3.443382569	2.103227813	8.576706329	8.162626013	17.64580663	4.377364674	52.56169384	50.87191955	11.57593728	18.93334622
PF3D7_0206200	0	1.93931291	1.14779419	2.944518938	24.50487523	38.77247356	8.439298821	43.77364674	40.0894275	47.02694889	3733.239772	3623.369133
PF3D7_0206300	7.114129583	5.81793873	8.034559327	10.51613906	9.801950091	2.040656503	49.86858394	35.0189174	95.32374984	88.43432527	57.87968638	44.96669727
PF3D7_0206500	7.114129583	4.848282275	8.034559327	5.047746751	13.47768137	10.20328252	181.8285291	159.0442498	96.21462601	110.3210814	1348.596693	721.8338246
PF3D7_0206600	4.26847775	0	0	0.420645563	1.225243761	0	6.13767187	4.377364674	9.799637834	5.323805535	0	2.366668277
PF3D7_0206700	0	0	0	1.68258225	0	0	18.41301561	4.377364674	45.4346845	57.67455996	8.681952957	0
PF3D7_0206800	5.691303666	0.969656455	2.295588379	12.61936688	0	0	0	0	0	0.591533948	0	2.366668277
PF3D7_0206900.1	0	0	0	0	0	0	0	0	0.890876167	0.295766974	8.681952957	7.100004832
PF3D7_0206900.2	0	0	0	0	0	0	0	0	0.890876167	1.774601845	5.787968638	2.366668277
PF3D7_0207000	1.422825917	0.969656455	2.295588379	2.523873375	11.02719385	4.081313006	3.068835935	17.5094587	30.28978967	34.60473598	396.4758517	392.8669341
PF3D7_0207100	2.845651833	5.81793873	5.738970948	2.523873375	84.54181953	66.32133635	55.23904683	115.2706031	63.25220784	83.99782066	659.8284248	532.5003624
PF3D7_0207200	0	0.969656455	0	0	2.450487523	3.060984755	0.767208984	3.647803895	5.345257001	3.844970664	86.81952957	61.53337521
PF3D7_0207300	0	0	0	0	74.73986944	90.80921439	0	0.729560779	0.890876167	1.183067897	7197.339002	8529.472472
PF3D7_0207400	0	0	0	2.103227813	2.450487523	4.081313006	0.767208984	0	0	2.366135793	8.681952957	0
PF3D7_0207500	0	0	0	0	0	0	0	0	0.890876167	1.774601845	11.57593728	2.366668277
PF3D7_0207600	0	0	0	0	0	0	0	0	0	0.591533948	2.893984319	0
PF3D7_0207700	0	0	0	0	0	0	0	0	0.890876167	2.070368819	0	0
PF3D7_0207800	0	0	0	0	0	0	0	0.729560779	1.781752334	4.436504612	2.893984319	0
PF3D7_0207900	0	0	1.14779419	3.365164501	0	0	0	1.459121558	16.92664717	35.19626992	17.36390591	7.100004832
PF3D7_0208000	0	0	0	0.420645563	0	0	5.370462886	26.99374883	3.563504667	22.18252306	34.72781183	4.733336555
PF3D7_0208100.1	0	0	0	0	0	0	2.301626951	2.188682337	1.781752334	2.957669742	0	0
PF3D7_0208100.2	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0208200	2.845651833	0.969656455	9.182353517	4.206455626	0	0	73.65206244	16.77989792	122.0500348	138.1231769	2.893984319	0
PF3D7_0208300	12.80543325	5.81793873	10.33014771	10.93678463	2.450487523	1.020328252	46.03253902	19.69814104	65.03396017	62.11106457	14.4699216	2.366668277
PF3D7_0208400	7.114129583	3.87862582	41.32059083	24.39744263	37.9825566	26.52853454	76.72089837	114.5410423	164.8120909	122.7432943	280.716479	267.4335154
PF3D7_0208500	0	0	2.295588379	2.523873375	0	0	1.534417967	4.377364674	70.37921717	70.09677287	2.893984319	14.20000966
PF3D7_0208600	0	2.908969365	5.738970948	6.309683438	0	1.020328252	19.18022459	49.61013298	58.79782701	94.05389778	17.36390591	28.40001933
PF3D7_0208700.1	0	0	0	0.420645563	1.225243761	0	0	0	0	0	0	0
PF3D7_0208700.2	0	0	0	1.261936688	0	0	5.370462886	6.566047012	10.690514	14.19681476	0	2.366668277
PF3D7_0208800	0	0	0	2.103227813	1.225243761	0	16.87859764	31.3711135	16.035771	31.05553229	2.893984319	7.100004832
PF3D7_0208900	2.845651833	7.75725164	0	0.841291125	0	0	90.53066008	245.8619825	2.6726285	10.05607712	14.4699216	0
PF3D7_0209000	14.22825917	40.72557111	8.034559327	5.468392313	4.900975045	5.101641258	270.0575623	644.2021679	59.68870317	21.88675609	109.9714041	68.63338005
PF3D7_0209100	1.422825917	0.969656455	0	1.68258225	2.450487523	3.060984755	45.26533004	19.69814104	21.381028	26.91479465	0	2.366668277
PF3D7_0209200	0	0	0	1.261936688	0	0	31.45556833	5.836486233	43.65293217	47.61848284	0	0
