Gene.Name.or.Symbol	logFC	test	stage
AP2VIIA4	0.317992123	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIA3	1.653468668	1	Brady_4dpi_vitro_vs_Oocyst_0d
MYSTB	-0.277733001	0	Brady_4dpi_vitro_vs_Oocyst_0d
SAG2C	1.592831585	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2IV5	-0.245760694	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X7	0.110405954	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X8	0.12201367	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X10	0.569245281	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X11	-0.535841376	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2XI5	-0.805737256	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2V1	0.166861747	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X4	0.683647254	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X3	-0.666917664	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X2	0.246473691	0	Brady_4dpi_vitro_vs_Oocyst_0d
SIR2	0.010324405	0	Brady_4dpi_vitro_vs_Oocyst_0d
HDAC3	0.894801932	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2X1	0.316924714	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIII2	0.16633644	0	Brady_4dpi_vitro_vs_Oocyst_0d
SAG1	0.575373888	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VI1	1.358814001	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VI2	-0.448427097	-1	Brady_4dpi_vitro_vs_Oocyst_0d
GCN5B	-0.301704918	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2XII3	-0.346970592	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2XII4	-0.042817572	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2XII6	0.788572859	1	Brady_4dpi_vitro_vs_Oocyst_0d
HDAC2	0.531082236	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2III1	-0.213335338	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2III2	-0.325923699	0	Brady_4dpi_vitro_vs_Oocyst_0d
GCN5A	-0.515023844	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIB3	1.318568083	1	Brady_4dpi_vitro_vs_Oocyst_0d
BAG1	4.775901069	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIII7	0.670180187	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIII6	0.044409138	0	Brady_4dpi_vitro_vs_Oocyst_0d
SAG2A	1.561953464	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIII3	0.189093538	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIA2	1.000097131	1	Brady_4dpi_vitro_vs_Oocyst_0d
HDAC1	-0.906061163	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIA8	0.423936396	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2VIIA9	-0.077363692	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2IX4	0.206987997	0	Brady_4dpi_vitro_vs_Oocyst_0d
AP2IX5	-1.492446942	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2IX6	-1.087895002	-1	Brady_4dpi_vitro_vs_Oocyst_0d
LDH2	3.36831092	1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2III3	-3.647216471	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2XI1	-0.639548586	-1	Brady_4dpi_vitro_vs_Oocyst_0d
AP2XI4	-0.330858018	0	Brady_4dpi_vitro_vs_Oocyst_0d
