Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_215220	33.m01348	N/A	3.369617022	1	3.2515785565	1	1.777102731	1	1.158186784	1	1.5803186615	1	2.180491051	1
TGME49_262670	55.m05004	RPL18A	0.529090014500003	1	1.37768373	1	2.788245287	1	2.8233218085	1	2.932850686	1	2.810275593	1
TGME49_203290	20.m03784	N/A	-1.0947887385	-1	-0.0359288174999977	0	2.808076919	1	3.958152162	1	3.8463095715	1	3.7781687835	1
TGME49_260260	55.m04872	RPP1	-1.431677316	-1	0.436454620000006	0	3.290016154	1	3.5814012245	1	3.4409343005	1	3.8672248065	1
TGME49_313380	583.m00682	N/A	2.7068491935	1	2.019630867	1	2.573917753	1	2.100962267	1	1.741130379	1	1.9868576605	1
TGME49_251680	50.m03408	N/A	1.157349624	1	1.8430438845	1	2.7458695475	1	1.851467216	1	2.450809861	1	3.0702493885	1
TGME49_209985	25.m01903	N/A	3.3449862165	1	2.6406812965	1	-0.777466061499998	-1	2.8349120155	1	1.980514321	1	3.069757101	1
TGME49_227810	42.m03584	ROP11	3.4235051415	1	2.3942605245	1	2.490513215	1	1.7855420835	1	1.849569232	1	1.057179908	1
TGME49_223920	42.m00026	RON3	1.988863423	1	1.261789817	1	2.808089191	1	2.324770725	1	2.0979552945	1	2.476103192	1
TGME49_232410	44.m02723	N/A	3.51239883	1	2.625102046	1	1.7016196575	1	1.757008403	1	1.9951926275	1	1.359619166	1
TGME49_230160	44.m04681	N/A	1.6140691295	1	2.442672857	1	3.2639223445	1	1.32705562	1	2.3046027695	1	1.979226663	1
TGME49_242330	49.m00006	RPS5	-1.855933122	-1	-0.908783400499997	-1	3.817923657	1	3.880222767	1	3.9472907505	1	4.043351456	1
TGME49_269340	59.m00029	N/A	1.6374520885	1	1.301394926	1	2.790747288	1	2.18918182	1	2.3896052045	1	2.605425442	1
TGME49_268860	59.m03411	N/A	-0.942696371999998	-1	-1.391121376	-1	1.060489582	1	4.5113773685	1	4.4336122605	1	5.231842455	1
TGME49_212270	28.m00304	N/A	3.175676064	1	3.008168212	1	2.413802176	1	1.0796015715	1	1.437817538	1	1.6510164175	1
TGME49_211260	27.m00846	ROP26	1.348060565	1	1.04396898	1	2.1397209245	1	2.8165919755	1	2.715103495	1	2.645353327	1
TGME49_245680	50.m00012	RPL21	-0.9403002085	-1	1.2409124395	1	3.238034744	1	2.5463151855	1	3.1581736065	1	3.398178249	1
TGME49_214940	33.m00006	N/A	3.0121194365	1	3.0080580165	1	2.5700348725	1	1.194141024	1	1.6901212055	1	1.145181175	1
TGME49_226260	42.m07392	N/A	2.456673578	1	1.1864716715	1	2.0523528975	1	2.239479147	1	2.4998668005	1	2.1637193945	1
TGME49_225540	42.m00042	N/A	2.188162964	1	1.8019569525	1	1.230280913	1	2.3423265395	1	2.5295413275	1	2.495347773	1
TGME49_311840	583.m09190	N/A	3.694996204	1	2.6522268925	1	2.1109365775	1	1.3728838085	1	1.3070835415	1	1.431048424	1
TGME49_314810	583.m00012	RPL7	-0.583312850999997	-1	1.417148221	1	2.956520365	1	3.0733613815	1	3.1604875855	1	2.3645062705	1
TGME49_297280	113.m01577	N/A	5.4213477385	1	3.6724595725	1	-0.997462020999998	-1	1.2805128085	1	2.072213862	1	0.925662542000002	1
TGME49_243570	49.m03356	RPS26	-0.447357694	0	0.0749717570000001	0	3.465337225	1	3.096613453	1	3.5313413585	1	2.6121915365	1
TGME49_260190	55.m04865	MIC13	4.827650157	1	3.4717395875	1	-0.739127754499999	-1	1.742897631	1	1.496166397	1	1.5233728215	1
TGME49_309590	583.m00003	ROP1	2.141292688	1	1.6245215515	1	2.831661261	1	2.1821571455	1	2.4839970605	1	0.99552316	1
TGME49_259020	55.m00009	BAG1	-1.3249997865	-1	-1.53177455	-1	1.1297906505	1	4.7759010685	1	4.2726763685	1	4.9280580885	1
TGME49_258580	55.m08191	ROP17	2.102124562	1	1.534054475	1	2.5984018095	1	2.0900543895	1	1.9911622215	1	1.868562503	1
TGME49_217560	37.m00013	POLR2L	1.6231537525	1	2.2291676105	1	1.7184910575	1	1.298170532	1	1.5678173845	1	3.742763251	1
TGME49_263550	55.m00223	N/A	2.884636141	1	2.252671664	1	1.509122553	1	1.6033394915	1	1.959359775	1	1.9346676635	1
TGME49_246940	50.m03142	N/A	2.5362858505	1	2.3079871995	1	1.474550144	1	2.1256280935	1	2.177783901	1	1.4786447545	1
TGME49_253330	52.m01578	N/A	-1.079025268	-1	-0.968781309499998	-1	1.8864183855	1	4.0627473435	1	3.8428662465	1	4.353875461	1
TGME49_234550	46.m02893	RPL29	-0.868359790499999	-1	2.1200295375	1	2.4957725315	1	2.569279297	1	2.5036957645	1	3.2041215615	1
TGME49_215470	33.m01368	RPL10A	-0.682421821500001	-1	1.458848463	1	2.8904758415	1	2.833526659	1	2.9309076425	1	2.5386972075	1
TGME49_261570	55.m00280	RPL7A	-1.518291028	-1	-1.3092930225	-1	4.0474849495	1	3.3973992945	1	3.8398588705	1	3.4848259595	1
TGME49_234450	46.m00005	RPS15A	-1.577420834	-1	0.117562868500002	0	3.2853216605	1	3.348220857	1	3.366283458	1	3.3782743915	1
TGME49_213350	31.m00922	RPS15	-1.0673409375	-1	0.915741922	1	3.0157064405	1	2.902585016	1	3.032825115	1	3.0129665495	1
TGME49_211850	28.m00429	N/A	2.744345546	1	2.3501301395	1	2.4404857505	1	1.316458707	1	1.3915334945	1	1.5669467855	1
TGME49_294830	83.m01289	N/A	-0.8265806955	-1	1.416339964	1	1.5354304975	1	3.0164627075	1	3.390387256	1	3.2583286545	1
TGME49_219810	38.m01075	N/A	0.937664543500002	1	2.0011978085	1	2.462566877	1	1.8830515985	1	2.2026153395	1	2.2438997845	1
TGME49_291890	80.m00012	MIC1	3.503454537	1	3.566655983	1	3.2638759485	1	-0.0631536929999985	0	0.837714868500002	1	0.614967435500001	1
TGME49_315220	583.m00692	ROP14	2.072926629	1	1.7991836445	1	2.038688803	1	1.954583414	1	1.9390923055	1	1.880822691	1
TGME49_263850	55.m08199	N/A	3.416137053	1	2.7520000685	1	1.7616691035	1	1.1451102	1	1.344621703	1	1.2165572705	1
TGME49_289530	80.m02220	RPL19	0.520753812000001	1	1.1446719405	1	2.087043709	1	2.604363021	1	2.5588335	1	2.6849409215	1
TGME49_202500	20.m00003	N/A	1.994131088	1	1.121297565	1	2.4578736755	1	2.3027772035	1	1.9667125985	1	1.7475093735	1
TGME49_289920	80.m02251	N/A	2.823978251	1	2.1758336885	1	1.9072647	1	0.6892490235	1	1.46946261	1	2.4846686405	1
TGME49_255260	55.m00005	N/A	2.7458782165	1	2.554185912	1	2.342784467	1	1.193403221	1	1.2996710055	1	1.3769775345	1
TGME49_205250	20.m03896	ROP18	2.8678471055	1	2.2630439865	1	2.263927434	1	1.4561625545	1	1.2761761575	1	1.3254350225	1
TGME49_320600	641.m01588	N/A	-1.199911719	-1	2.162702078	1	2.3646048195	1	2.39987028	1	2.6889558915	1	3.0270519615	1
TGME49_220890	41.m01269	N/A	2.925724387	1	1.9872930355	1	1.979772534	1	1.269010148	1	1.569114576	1	1.682267161	1
TGME49_258540	55.m04768	N/A	1.0558004795	1	2.25429169	1	2.46406628	1	1.7565687215	1	2.3028428495	1	1.574458021	1
TGME49_202830	20.m03748	N/A	1.640408999	1	2.594389379	1	1.969502491	1	1.81150594	1	2.128585159	1	1.2465803365	1
TGME49_310790	583.m00626	N/A	1.611167079	1	1.675868179	1	1.921903041	1	2.2181315685	1	2.244007859	1	1.6882999175	1
TGME49_254620	52.m02721	RPL39	-0.711990789999996	-1	1.4282427235	1	2.507728926	1	2.190893144	1	2.532839461	1	3.363034006	1
TGME49_232710	44.m02744	RPS3A	-1.789772594	-1	-0.0879458934999979	0	3.24664439	1	3.038453426	1	3.184131507	1	3.692955903	1
TGME49_226580	42.m00071	N/A	2.640299984	1	2.634876448	1	1.491792763	1	1.3425146375	1	1.4375599595	1	1.704535204	1
TGME49_233460	44.m00009	SAG1	2.5969540645	1	3.0738990385	1	3.9799902405	1	0.575373888000001	0	1.716558569	1	-0.745444909999997	-1
