	GSM802515	GSM802516	GSM802517	GSM802518	GSM802519	GSM802520	GSM802521	GSM802522	GSM802523	GSM802524	GSM802525	GSM802526	GSM802527	GSM802528
583.m05405_at	3.300165811	3.433379968	3.224285744	3.00938496	3.215947731	3.542093878	2.655058067	2.901685298	3.021673978	2.967346775	2.767178073	3.017799437	2.884198525	2.951137828
583.m05405_x_at	3.403390669	4.059195083	3.586775702	3.65906471	3.740358901	3.556761366	3.382559843	3.485458043	3.331346506	3.245073299	3.65838765	3.693894863	3.331593986	3.27773333
583.m05406_at	4.676224199	5.220579352	4.233459635	4.666912085	4.845004089	4.926192274	5.522600878	5.251429964	4.974523002	5.02959807	5.08649063	5.167399345	5.413474933	5.220664319
583.m05407_at	4.593623675	4.85590529	3.477486936	3.517892871	4.609897013	4.331374181	4.244188226	4.545498499	5.216245759	5.284599011	4.887561405	4.894841371	5.089919323	5.170136448
583.m05408_at	4.219392996	4.579067836	4.401387614	4.0089403	4.788161467	4.577611121	6.406146986	6.70751566	6.282634615	6.088875867	7.128414117	7.301809202	7.277652523	7.364848465
583.m05409_at	6.143693838	6.119524679	5.119203582	6.730330047	5.818184995	5.929575707	6.276073082	5.640415219	5.192377604	5.629408021	5.623472425	5.693246034	5.804421265	5.888896332
583.m05410_at	4.452165896	4.744047885	4.614910077	4.633140842	4.173693316	4.345607976	4.937224356	5.099214259	4.865135869	4.743185129	4.664680109	4.584022121	3.960340292	4.145205102
583.m05411_at	4.5198385	4.399437099	4.096122444	4.20299563	3.565263719	4.461486781	3.93581612	3.486093875	3.910099769	3.467010894	3.594525884	3.504705569	3.453194577	3.49449928
583.m05412_at	5.091969423	5.951999814	5.060221805	5.111435543	4.322961283	4.591513192	4.088510576	4.16208083	4.067907674	4.05062329	4.050804586	3.931427541	4.026127494	4.669218892
583.m05414_at	5.187553216	6.289505134	4.123765675	3.052637492	3.673260157	4.326149144	3.434697311	3.856626011	3.582028254	3.955666291	4.216434313	4.420226785	4.375234637	4.588545439
583.m05415_at	4.092417908	4.571943747	5.338351458	4.888622567	4.574280728	4.373017441	4.378835821	4.042595721	4.229956505	4.03775641	4.19485446	3.986377572	4.134846427	4.011663712
583.m05416_at	4.998786839	5.353432953	4.695639765	4.681619643	4.684169356	4.660415142	4.498224481	4.765917244	4.210209788	4.445696076	3.880018388	4.039889845	4.103075292	4.080382635
583.m05417_at	4.433745643	5.081330923	7.065666627	6.78176953	6.754672438	6.60201367	5.929547229	5.938081076	6.372023413	6.038012447	5.612777058	5.821085348	5.731960892	5.959092185
583.m05418_at	3.379273959	3.652106767	3.662039748	3.912485335	3.966970721	4.344196393	3.99712901	3.545435738	4.076336804	4.296316348	3.720366795	3.774146886	4.003430137	4.0710468
583.m05419_at	3.717975118	3.940761308	4.152634025	3.857253839	4.400777086	4.355403381	3.981124665	4.378827684	4.050793957	4.057310522	4.020502798	4.419820862	4.093357014	4.119354101
583.m05420_at	4.610964525	4.997431661	6.06552675	5.558230371	5.493412069	5.485708901	6.375940187	6.720786149	5.199256461	5.271072831	6.173219112	6.168363182	6.175834313	6.22188896
583.m05421_at	4.356907071	5.337737264	4.48304258	4.618772469	4.017845129	3.958828526	4.281969491	4.308343633	4.348003934	4.401507432	4.241896449	3.786238151	4.25872442	4.187116861
583.m05422_at	4.453112917	4.555052245	3.743721598	3.43093144	4.115142786	3.84811732	3.582520094	3.752448957	2.942585947	3.357393802	2.869614912	3.392955824	3.209866514	3.834350271
583.m05427_at	6.939158147	6.824736193	5.618119297	6.136676603	5.821221105	5.803906759	6.258700451	6.224941647	3.829489833	3.551896145	6.181303499	6.205959002	6.311793046	6.331497354
583.m05429_at	4.123362006	4.00633653	3.488560301	3.385238828	3.478635046	3.492017975	3.785883519	4.170709928	3.691729559	4.073854317	4.400544351	4.234525865	4.554687622	4.81304124
583.m05430_at	5.121165611	5.402843639	4.145160011	4.756430137	4.843351548	4.947898151	4.157319392	4.611038872	5.179619408	5.329051657	4.869530747	5.081773974	4.943030967	5.207444859
583.m05431_at	4.686380896	4.303122307	3.44300527	3.284633412	4.064308019	3.973972772	4.569637251	4.435456495	4.66382346	4.658740194	4.172964533	4.271958264	4.565426648	4.911539306
583.m05434_at	3.96403546	4.003215122	4.39198889	4.396728275	3.464416336	3.885265513	3.893631295	3.801527064	4.22037697	4.058175724	4.398121208	3.977833685	3.969527694	4.007255688
583.m05437_at	3.106706153	3.141174225	3.625728562	3.178371914	3.158216904	3.237237402	3.483343613	3.569993684	3.474011068	3.481470029	3.499044501	3.737594711	3.488207509	3.314083829
583.m05438_at	3.936592505	4.092476075	4.470118311	3.790538063	4.998801784	4.737910966	3.932741995	3.673037517	4.092593548	4.203928239	4.360487321	3.679783934	4.344167451	4.518904957
583.m05439_at	5.430520581	5.370249433	4.284194731	4.468672567	4.023312708	3.733042394	5.707070938	5.440857526	5.081150478	5.215103	5.293756505	5.35718978	5.324070066	5.123261615
583.m05440_at	6.267676328	7.982837274	4.521093769	4.776530744	4.808864745	4.88553451	4.490357587	4.345988189	4.223331441	4.5262443	4.848994215	4.46964278	4.580777876	4.694864123
583.m05441_at	5.605875976	6.192566456	6.296683634	6.053158743	5.3896506	5.328131712	3.894192609	4.370844288	3.363209373	3.899816242	4.311304571	4.27893403	4.298384027	4.360993388
583.m05442_at	4.293207467	3.811785519	3.275334227	3.38189823	3.978331761	3.998257155	3.628239579	3.485603627	3.5077972	4.019711208	4.069570706	3.967400062	4.267532668	4.467486682
583.m05443_at	4.395760661	4.340073089	4.489368595	4.083125468	4.060985231	4.355888295	3.54989915	3.716313878	3.363327774	3.269593667	3.497716242	3.503210046	3.363368634	3.574870177
583.m05444_at	3.851702322	3.580455863	3.331212497	3.118075428	4.729984243	4.931216478	4.814451672	4.763771177	4.739151775	4.702743556	4.683105821	4.160804648	4.656235192	5.227537072
583.m05445_at	4.133372707	3.746659267	3.884207535	3.379723406	3.380384394	3.377409493	3.754582011	3.53328958	4.500263204	3.817496727	3.965490593	3.926765971	3.945101039	3.983124801
583.m05446_at	5.289995185	5.713892397	8.377073271	7.300203197	7.68254213	7.838350309	4.592845833	4.255721463	3.65014122	4.000288385	3.83799761	3.784018229	3.770607506	3.199156656
583.m05448_at	3.868345995	3.531791882	3.690541941	3.948164871	3.708717597	3.590247762	3.361658244	3.92704652	3.334289561	3.485150526	3.916604812	3.679214565	3.57014577	3.583892437
583.m05449_at	6.145810929	6.640480818	4.801580176	4.429560397	4.220017235	4.364990552	3.943650179	3.807672116	4.426564698	4.455011713	4.424017052	3.492676819	4.210537599	4.35508337
